final ID;Store;description;price;size;sex;img_url;shop_sales;number_in_stock
1,10252E+14;ARMEDANGELS;"Medine rot XL"";""Pullover aus Bio-Baumwolle mit Regular fit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in TürkeiN/Aaus nachhaltigen Materialien und GOTS zertifiziert.""";79,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10252348_51710252348-517.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-strick-pullover-solid-medine-10252348-517.html408=2991?redirection=no;
1,10253E+14;ARMEDANGELS;"Emma Multicolor Stripes blau M"";""T-Shirt aus Tencel®-Mix mit fitted Fit für Frauen aus 67% Lyocell (Tencel®)T-Shirt aus Tencel®-Mix mit fitted Fit für Frauen aus 67% Lyocell (Tencel®)33% Baumwolle (bio) in M. Fair produziert in Portugal aus nachhaltigen Materialien und GOTS zertifiziert.""";49,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253350_53010253350-530.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-streifen-emma-multicolor-stripes-10253350-530.html417=3362?redirection=no;
1,10253E+14;ARMEDANGELS;"Nela Love & Stripes Black weiss L"";""T-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in L. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in L. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;L;;https://www.armedangels.de/media/catalog/product/1/0/10253346_18810253346-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/shirts-t-shirt-print-nela-love-stripes-black-10253346-188.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Liv Dotted Garden blau XL"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253239_22010253239-220_1.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-liv-dotted-garden-10253239-220.html417=3364?redirection=no;
1,10253E+14;ARMEDANGELS;"Liv Dotted Garden blau S"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253239_22010253239-220_1.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-liv-dotted-garden-10253239-220.html417=3361?redirection=no;
1,10253E+14;ARMEDANGELS;"Liv Dotted Garden blau M"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";39,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253239_22010253239-220_1.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-liv-dotted-garden-10253239-220.html417=3362?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked rot L"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;L;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_43010253236-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-430.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked rot XS"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;XS;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_43010253236-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-430.html417=3360?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked rot XL"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_43010253236-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-430.html417=3364?redirection=no;
1,10253E+14;ARMEDANGELS;"Emily grau 110/116"";""T-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in 110/116. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in 110/116. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";14,9;110/116;;https://www.armedangels.de/media/catalog/product/1/0/10253474_20310253474-203.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/kinderbekleidung-shirts-t-shirt-solid-emily-10253474-203.html469=4950?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked rot S"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_43010253236-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-430.html417=3361?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked rot M"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_43010253236-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-430.html417=3362?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked blau L"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in L. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;L;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_22010253236-220.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-220.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked blau XS"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XS. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;XS;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_22010253236-220.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-220.html417=3360?redirection=no;
1,10252E+14;ARMEDANGELS;"Joe schwarz XL"";""Sweatjacke aus Bio-Baumwoll Mix mit Regular fit Fit für Herren aus 65% Baumwolle (bio)Sweatjacke aus Bio-Baumwoll Mix mit Regular fit Fit für Herren aus 65% Baumwolle (bio)35% Polyester (recycelt) in XL. Fair produziert in Portugal aus nachhaltigen Materialien und GOTS zertifiziert.""";79,9;0;0;https://www.armedangels.de/media/catalog/product/1/0/10251844_10510251844-105_1.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/maennerbekleidung-sweatjacke-solid-joe-10251844-105.html410=3115?redirection=no;
1,10253E+14;ARMEDANGELS;"Mari Birds Stacked blau XL"";""T-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in XL. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253236_22010253236-220.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-t-shirt-print-mari-birds-stacked-10253236-220.html417=3364?redirection=no;
